EC_Number	BiGG_Reaction
1.3.8.7	ACOA40OR
1.3.8.7	ACOA80OR
1.3.8.7	ACOAD1f
1.3.8.7	ACOAD1fm
1.3.8.7	ACOAD3f
1.3.8.7	ACOAD5f
1.3.8.7	ACOAD6f
1.3.8.7	ACOAD7f
1.3.8.7	ACOAD8m
1.3.8.7	MBCOAi
1.3.8.7	PPCOAOm
1.3.98.1	DHORDfum
1.3.98.3	CPPPGO2
1.3.99.-	ACOA120OR
1.3.99.-	ACOA140OR
1.3.99.-	ACOA160OR
1.3.99.-	ACOA40OR
1.3.99.-	ACOA80OR
1.3.99.-	ACOAD1f
1.3.99.-	ACOAD1fm
1.3.99.-	ACOAD3f
1.3.99.-	ACOAD5f
1.3.99.-	ACOAD6f
1.3.99.-	ACOAD7f
1.3.99.-	SGOR
1.3.99.16	NOT_IN_BIGG_DATABASE
1.3.99.26	NOT_IN_BIGG_DATABASE
1.3.99.27	NOT_IN_BIGG_DATABASE
1.3.99.28	NOT_IN_BIGG_DATABASE
1.3.99.29	NOT_IN_BIGG_DATABASE
1.3.99.31	NOT_IN_BIGG_DATABASE
1.3.99.38	NOT_IN_BIGG_DATABASE
1.3.99.4	NOT_IN_BIGG_DATABASE
1.3.99.41	NOT_IN_BIGG_DATABASE
1.3.99.8	NOT_IN_BIGG_DATABASE
1.4.1.1	ALAD_L
1.4.1.13	GAM
1.4.1.13	GDH_nadp
1.4.1.13	GLUDy
1.4.1.13	GLUDym
1.4.1.13	GLUN
1.4.1.13	GLUNm
1.4.1.13	GLUNpp
1.4.1.13	GLUS_nadph
1.4.1.13	GLUSy
1.4.1.2	GDH
1.4.1.2	GDH1
1.4.1.2	GDHm
1.4.1.2	GLUDxi
1.4.1.21	ASPO2
1.4.1.21	ASPO2y
1.4.1.3	GDH
1.4.1.3	GDH1
1.4.1.3	GDH_nadp
1.4.1.3	GDHm
1.4.1.3	GLUDxi
1.4.1.3	GLUDy
1.4.1.3	GLUDym
1.4.1.4	GDH
1.4.1.4	GDH1
1.4.1.4	GDH_nadp
1.4.1.4	GDHm
1.4.1.4	GLUDxi
1.4.1.4	GLUDy
1.4.1.4	GLUDym
1.4.1.9	ILEDHr
1.4.1.9	LLEUDr
1.4.1.9	VALDHr
1.4.2.-	NOT_IN_BIGG_DATABASE
1.4.3.-	NOT_IN_BIGG_DATABASE
1.4.3.16	ASPO1
1.4.3.16	ASPO6
1.4.3.16	ASPO6_1
1.4.3.16	ASPOcm
1.4.3.16	ASPOcm_1
1.4.3.16	ASPOm
1.4.3.19	DALAOX
1.4.3.19	DALAOXx
1.4.3.19	GLYO1
1.4.3.19	GLYOp
1.4.3.21	42A12BOOX
1.4.3.21	42A12BOOXpp
1.4.3.21	5HOXINOXDA
1.4.3.21	AACTOOR
1.4.3.21	AMO
1.4.3.21	MAOX
1.4.3.21	NMPTRCOX
1.4.3.21	PEAMNO
1.4.3.21	PEAMNOpp
1.4.3.21	TRYPTAOX
1.4.3.21	TYROXDAc
1.4.3.21	TYROXDApp
1.4.3.5	PDX5POi
1.4.3.5	PYAM5PO
1.4.3.5	PYDXNO
1.4.3.5	PYDXO
1.4.3.5	PYDXO_1
1.4.3.5	TRYPTAOX
1.4.4.2	GCC2am
1.4.4.2	GCCa
1.4.4.2	GCCam
1.4.4.2	GLYCL
1.4.4.2	GLYCL_2
1.4.4.2	GLYCLm
1.4.4.2	GLYDHD
1.4.5.1	NOT_IN_BIGG_DATABASE
1.4.99.-	NOT_IN_BIGG_DATABASE
1.4.99.5	NOT_IN_BIGG_DATABASE
1.5.1.-	AMCOXO
1.5.1.-	FMNRx
1.5.1.-	FMNRx2
1.5.1.2	HPROa
1.5.1.2	HPROb
1.5.1.2	HPROx
1.5.1.2	HPROxm
1.5.1.2	HPROym
1.5.1.2	P5CR
1.5.1.2	P5CRm
1.5.1.2	P5CRx
1.5.1.2	P5CRxm
1.5.1.2	PRO1x
1.5.1.2	PRO1xm
1.5.1.2	PRO1y
1.5.1.20	MTHFO
1.5.1.20	MTHFO_nadp
1.5.1.20	MTHFR2
1.5.1.20	MTHFR2_1
1.5.1.20	MTHFR3
1.5.1.20	MTHFR3_1
1.5.1.21	1PPDCRc
1.5.1.21	1PPDCRp
1.5.1.3	DHFOR
1.5.1.3	DHFR
1.5.1.3	DHFR2i
1.5.1.3	DHFRim
1.5.1.3	FOLR2
1.5.1.3	FOLR2_1
1.5.1.3	THFOR1
1.5.1.3	THFOR2
1.5.1.3	r0512
1.5.1.3	r0514
1.5.1.36	FADRx
1.5.1.36	FLVRx
1.5.1.36	FMNRx
1.5.1.37	FADRx
1.5.1.38	FMNRx2
1.5.1.39	FMNRx
1.5.1.39	FMNRx2
1.5.1.40	NOT_IN_BIGG_DATABASE
1.5.1.41	FLVR
1.5.1.41	FLVR_1
1.5.1.41	FLVRx
1.5.1.41	FMNRx
1.5.1.42	FMNRx
1.5.1.47	NOT_IN_BIGG_DATABASE
1.5.1.49	NOT_IN_BIGG_DATABASE
1.5.1.5	MTHFD
1.5.1.5	MTHFD_1
1.5.1.5	MTHFDm
1.5.1.5	MTHFDm_1
1.5.1.50	NOT_IN_BIGG_DATABASE
1.5.1.51	NOT_IN_BIGG_DATABASE
1.5.1.54	NOT_IN_BIGG_DATABASE
1.5.3.-	NOT_IN_BIGG_DATABASE
1.5.3.1	SARCOX
1.5.3.1	SARCOXp
1.5.3.24	NOT_IN_BIGG_DATABASE
1.5.5.1	NOT_IN_BIGG_DATABASE
1.5.5.2	NOT_IN_BIGG_DATABASE
1.5.7.3	NOT_IN_BIGG_DATABASE
1.6.1.1	NADTRHD
1.6.1.1	NNOR
1.6.1.1	THD2
1.6.1.1	THD2pp
1.6.3.5	NOT_IN_BIGG_DATABASE
1.6.5.10	NOT_IN_BIGG_DATABASE
1.6.5.2	NOT_IN_BIGG_DATABASE
1.6.5.5	NOT_IN_BIGG_DATABASE
1.6.5.9	NOT_IN_BIGG_DATABASE
1.6.99.-	NOT_IN_BIGG_DATABASE
1.6.99.1	NOT_IN_BIGG_DATABASE
1.6.99.3	NADH2_u6cm
1.6.99.3	NADH2_u6m
1.7.1.13	CDGR
1.7.1.15	NTRIR2x
1.7.1.17	NOT_IN_BIGG_DATABASE
1.7.1.4	NTRIR2x
1.7.1.4	NTRIR2y
1.7.1.4	NTRIRy
1.7.1.7	GMPR
1.7.2.1	NOT_IN_BIGG_DATABASE
1.7.2.3	NOT_IN_BIGG_DATABASE
1.7.3.3	URAOX
1.7.3.3	URIC
1.7.3.3	URO
1.7.5.1	NOT_IN_BIGG_DATABASE
1.7.7.1	NO2R
1.7.7.1	NOR_syn
1.7.99.-	NOT_IN_BIGG_DATABASE
1.7.99.1	HAMR
1.8.1.-	NOT_IN_BIGG_DATABASE
1.8.1.15	DM_nadh
1.8.1.2	SULR
1.8.1.2	SULR_1
1.8.1.4	2OXOADOXm
1.8.1.4	AKGDH
1.8.1.4	AKGDm
1.8.1.4	GCC2cm
1.8.1.4	GCCc
1.8.1.4	GCCcm
1.8.1.4	GLYCL
1.8.1.4	GLYCL_2
1.8.1.4	GLYCLm
1.8.1.4	PDH
1.8.1.4	PDHcr
1.8.1.4	PDHe3hr
1.8.1.4	PDHm
1.8.1.7	GDR
1.8.1.7	GDR_nadp_h
1.8.1.7	GDRh
1.8.1.7	GDRm
1.8.1.7	GTHOm
1.8.1.7	GTHOr
1.8.1.8	NOT_IN_BIGG_DATABASE
1.8.1.9	TDSRh
1.8.1.9	TRDR
1.8.1.9	TRDRm
1.8.2.1	SULFOX
1.8.2.2	MSULR
1.8.2.3	NOT_IN_BIGG_DATABASE
1.8.2.6	NOT_IN_BIGG_DATABASE
1.8.3.1	SULO
1.8.3.1	SULOm
1.8.3.1	r0142
1.8.4.-	NOT_IN_BIGG_DATABASE
1.8.4.10	APSR
1.8.4.11	NOT_IN_BIGG_DATABASE
1.8.4.12	NOT_IN_BIGG_DATABASE
1.8.4.14	METSOXR1
1.8.4.14	METSOXR2
1.8.4.14	METSR_S1
1.8.4.8	PAPSR
1.8.4.8	PAPSR2
1.8.5.-	NOT_IN_BIGG_DATABASE
1.8.5.3	NOT_IN_BIGG_DATABASE
1.8.5.4	NOT_IN_BIGG_DATABASE
1.8.5.6	NOT_IN_BIGG_DATABASE
1.8.5.7	NOT_IN_BIGG_DATABASE
1.8.5.9	NOT_IN_BIGG_DATABASE
1.8.7.1	SELTORc
1.8.7.1	SELTORm
1.8.7.1	SULR_ferr
1.8.7.1	SULR_syn
1.8.99.-	NOT_IN_BIGG_DATABASE
1.9.3.1	CYOO2pp
1.9.3.1	CYOO3
1.9.3.1	CYOOm2
1.9.3.1	CYOOm2_cho
1.9.6.1	NOT_IN_BIGG_DATABASE
1.97.1.-	NOT_IN_BIGG_DATABASE
1.97.1.4	NOT_IN_BIGG_DATABASE
2.1.1.-	ARMT
2.1.1.-	CPC5MT
2.1.1.10	HCYSMT
2.1.1.10	HCYSMT2
2.1.1.107	UPP3MT
2.1.1.107	UPP3MT_1
2.1.1.107	UPP3MT_2
2.1.1.11	MPOMT
2.1.1.13	METS
2.1.1.13	METS_1
2.1.1.13	METSm
2.1.1.130	PC20M
2.1.1.132	CPC6MT
2.1.1.132	PC6YM
2.1.1.133	CPC4MT
2.1.1.133	PC11M
2.1.1.137	NOT_IN_BIGG_DATABASE
2.1.1.14	MHPGLUT
2.1.1.14	MS
2.1.1.144	ACONMT
2.1.1.148	TMDS3
2.1.1.151	CPC2MT
2.1.1.152	R05219
2.1.1.163	AMMQLT8
2.1.1.163	DMTPHT
2.1.1.163	URFGTT
2.1.1.166	NOT_IN_BIGG_DATABASE
2.1.1.17	NOT_IN_BIGG_DATABASE
2.1.1.170	NOT_IN_BIGG_DATABASE
2.1.1.171	NOT_IN_BIGG_DATABASE
2.1.1.172	NOT_IN_BIGG_DATABASE
2.1.1.173	NOT_IN_BIGG_DATABASE
2.1.1.174	NOT_IN_BIGG_DATABASE
2.1.1.176	NOT_IN_BIGG_DATABASE
2.1.1.177	NOT_IN_BIGG_DATABASE
2.1.1.178	NOT_IN_BIGG_DATABASE
2.1.1.181	NOT_IN_BIGG_DATABASE
2.1.1.182	NOT_IN_BIGG_DATABASE
2.1.1.185	NOT_IN_BIGG_DATABASE
2.1.1.186	NOT_IN_BIGG_DATABASE
2.1.1.187	NOT_IN_BIGG_DATABASE
2.1.1.189	NOT_IN_BIGG_DATABASE
2.1.1.190	NOT_IN_BIGG_DATABASE
2.1.1.191	NOT_IN_BIGG_DATABASE
2.1.1.192	NOT_IN_BIGG_DATABASE
2.1.1.193	NOT_IN_BIGG_DATABASE
2.1.1.195	CODSCL5BMT
2.1.1.196	NOT_IN_BIGG_DATABASE
2.1.1.197	NOT_IN_BIGG_DATABASE
2.1.1.198	NOT_IN_BIGG_DATABASE
2.1.1.199	NOT_IN_BIGG_DATABASE
2.1.1.200	NOT_IN_BIGG_DATABASE
2.1.1.201	OMBZLM
2.1.1.201	URFGTT
2.1.1.207	NOT_IN_BIGG_DATABASE
2.1.1.21	NOT_IN_BIGG_DATABASE
2.1.1.210	NOT_IN_BIGG_DATABASE
2.1.1.217	NOT_IN_BIGG_DATABASE
2.1.1.222	OHPHM
2.1.1.223	NOT_IN_BIGG_DATABASE
2.1.1.226	NOT_IN_BIGG_DATABASE
2.1.1.227	NOT_IN_BIGG_DATABASE
2.1.1.228	NOT_IN_BIGG_DATABASE
2.1.1.258	NOT_IN_BIGG_DATABASE
2.1.1.264	NOT_IN_BIGG_DATABASE
2.1.1.265	NOT_IN_BIGG_DATABASE
2.1.1.266	NOT_IN_BIGG_DATABASE
2.1.1.271	CODSCL4MT
2.1.1.289	NOT_IN_BIGG_DATABASE
2.1.1.297	NOT_IN_BIGG_DATABASE
2.1.1.298	NOT_IN_BIGG_DATABASE
2.1.1.33	NOT_IN_BIGG_DATABASE
2.1.1.34	NOT_IN_BIGG_DATABASE
2.1.1.37	CYTOM
2.1.1.37	DMT
2.1.1.37	DNAMTn
2.1.1.37	DNAMTn2r
2.1.1.44	NOT_IN_BIGG_DATABASE
2.1.1.45	TMDS
2.1.1.45	TMDSf
2.1.1.63	NOT_IN_BIGG_DATABASE
2.1.1.64	DMQMT
2.1.1.71	RE0066C
2.1.1.71	RE0066M
2.1.1.71	RE0066R
2.1.1.71	RE3511C
2.1.1.71	RE3511M
2.1.1.71	RE3511R
2.1.1.72	NOT_IN_BIGG_DATABASE
2.1.1.74	NOT_IN_BIGG_DATABASE
2.1.1.77	NOT_IN_BIGG_DATABASE
2.1.1.79	CFAS160E
2.1.1.79	CFAS160G
2.1.1.79	CFAS180E
2.1.1.79	CFAS180G
2.1.1.80	NOT_IN_BIGG_DATABASE
2.1.2.-	GART
2.1.2.1	GHMT2r
2.1.2.1	GHMT2rm
2.1.2.10	FOMETRi
2.1.2.10	GCC2
2.1.2.10	GCC2bim
2.1.2.10	GCCb
2.1.2.10	GCCbim
2.1.2.10	GLYCL
2.1.2.10	GLYCL_2
2.1.2.10	GLYCLm
2.1.2.10	MTAM
2.1.2.10	MTAM_nh4
2.1.2.10	THFAT
2.1.2.10	THFATm
2.1.2.11	2DHPFALDL
2.1.2.11	MOHMT
2.1.2.11	MTMOHT
2.1.2.2	FGFTh
2.1.2.2	FGFTm
2.1.2.2	FPGFTh
2.1.2.2	FPGFTm
2.1.2.2	GARFT
2.1.2.3	AICART
2.1.2.3	IMPC
2.1.2.9	FMETTRS
2.1.2.9	FMETTRS_1
2.1.2.9	FMETTRSm
2.1.3.-	NOT_IN_BIGG_DATABASE
2.1.3.15	NOT_IN_BIGG_DATABASE
2.1.3.2	ASPCT
2.1.3.2	ASPCT_1
2.1.3.2	ASPCTm
2.1.3.2	ASPCTn
2.1.3.3	OCBT
2.1.3.3	OCBT_1
2.1.3.3	OCBTm
2.1.3.3	OCT
2.1.3.3	OCTh
2.1.3.3	OCTm
2.1.3.9	NOT_IN_BIGG_DATABASE
2.1.4.1	GLYAMDTR
2.1.4.1	GLYAMDTRc
2.1.4.2	NOT_IN_BIGG_DATABASE
2.10.1.1	NOT_IN_BIGG_DATABASE
2.2.1.-	NOT_IN_BIGG_DATABASE
2.2.1.1	TKT1
2.2.1.1	TKT1h
2.2.1.1	TKT2
2.2.1.1	TKT2h
2.2.1.2	TALA
2.2.1.2	TAh
2.2.1.5	NOT_IN_BIGG_DATABASE
2.2.1.6	ACAS_2ahbut
2.2.1.6	ACHBS
2.2.1.6	ACHBSm
2.2.1.6	ACLS
2.2.1.6	ACLSm
2.2.1.6	APLh
2.2.1.6	APLm
2.2.1.6	PDHam1hi
2.2.1.6	PDHam1mi
2.2.1.6	PPATDh
2.2.1.7	DXPS
2.2.1.7	DXS
2.2.1.9	2S6HCCi
2.2.1.9	SEPHCHCS
2.3.1.-	3HAD100
2.3.1.-	3HAD100_1
2.3.1.-	3HAD120
2.3.1.-	3HAD120_1
2.3.1.-	3HAD140
2.3.1.-	3HAD140_1
2.3.1.-	3HAD160
2.3.1.-	3HAD160_1
2.3.1.-	3HAD180
2.3.1.-	3HAD180_1
2.3.1.-	3HAD40_1
2.3.1.-	3HAD60
2.3.1.-	3HAD60_1
2.3.1.-	3HAD80
2.3.1.-	3HAD80_1
2.3.1.-	3OAR100
2.3.1.-	3OAR100_1
2.3.1.-	3OAR120
2.3.1.-	3OAR120_1
2.3.1.-	3OAR140
2.3.1.-	3OAR140_1
2.3.1.-	3OAR160
2.3.1.-	3OAR160_1
2.3.1.-	3OAR40_1
2.3.1.-	3OAR60
2.3.1.-	3OAR60_1
2.3.1.-	3OAR80
2.3.1.-	3OAR80_1
2.3.1.-	ACOATA
2.3.1.-	ACOATA_1
2.3.1.-	ACOATAm
2.3.1.-	APATi
2.3.1.-	EAR100x
2.3.1.-	EAR100x_1
2.3.1.-	EAR120x
2.3.1.-	EAR120x_1
2.3.1.-	EAR140x
2.3.1.-	EAR140x_1
2.3.1.-	EAR40x
2.3.1.-	EAR40x_1
2.3.1.-	EAR60x
2.3.1.-	EAR60x_1
2.3.1.-	EAR80x
2.3.1.-	EAR80x_1
2.3.1.-	KAS14
2.3.1.-	KAS14_1
2.3.1.-	MCOATA
2.3.1.-	MCOATA_1
2.3.1.-	MCOATAm
2.3.1.-	THPAT
2.3.1.1	ACGS
2.3.1.1	ACGSm
2.3.1.1	RE2030M
2.3.1.101	NOT_IN_BIGG_DATABASE
2.3.1.102	NOT_IN_BIGG_DATABASE
2.3.1.109	AST
2.3.1.117	THDPS
2.3.1.118	NOT_IN_BIGG_DATABASE
2.3.1.12	PDH
2.3.1.12	PDHbr
2.3.1.12	PDHe2hr
2.3.1.12	PDHe2r
2.3.1.12	PDHm
2.3.1.12	r0555
2.3.1.129	UAGAAT
2.3.1.15	G3PAT120
2.3.1.15	G3PAT140
2.3.1.15	G3PAT141
2.3.1.15	G3PAT160
2.3.1.15	G3PAT160_1
2.3.1.15	G3PAT160h
2.3.1.15	G3PAT161
2.3.1.15	G3PAT180
2.3.1.15	G3PAT180h
2.3.1.15	G3PAT181
2.3.1.15	G3PAT181h
2.3.1.157	G1PACT
2.3.1.16	3OXCOAT
2.3.1.16	ACACT10m
2.3.1.16	ACACT2
2.3.1.16	ACACT2m
2.3.1.16	ACACT2r
2.3.1.16	ACACT4m
2.3.1.16	ACACT4p
2.3.1.16	ACACT4r
2.3.1.16	ACACT5r_1
2.3.1.16	ACACT6m
2.3.1.16	ACACT6p
2.3.1.16	ACACT6r
2.3.1.16	ACACT7m
2.3.1.16	ACACT7p
2.3.1.16	ACACT7r
2.3.1.16	KATp
2.3.1.16	MACCOAT
2.3.1.16	OGCOAAT
2.3.1.168	DHRT_2mbcoa
2.3.1.168	DHRT_ibcoa
2.3.1.168	DHRT_ivcoa
2.3.1.168	PDHbr
2.3.1.168	PDHe2hr
2.3.1.168	PDHe2r
2.3.1.168	r0555
2.3.1.168	r0604
2.3.1.168	r0656
2.3.1.174	3OXCOAT
2.3.1.179	3OAS181
2.3.1.179	3OAS181_1
2.3.1.179	ACOATA
2.3.1.179	ACOATA_1
2.3.1.179	ACOATAm
2.3.1.179	KAS14
2.3.1.179	KAS14_1
2.3.1.180	ACOATA
2.3.1.180	ACOATA_1
2.3.1.180	ACOATAm
2.3.1.180	KAS14
2.3.1.180	KAS14_1
2.3.1.180	KAS15
2.3.1.181	NOT_IN_BIGG_DATABASE
2.3.1.182	NOT_IN_BIGG_DATABASE
2.3.1.183	NOT_IN_BIGG_DATABASE
2.3.1.184	NOT_IN_BIGG_DATABASE
2.3.1.187	MACPT
2.3.1.191	U23GAAT
2.3.1.193	NOT_IN_BIGG_DATABASE
2.3.1.201	NOT_IN_BIGG_DATABASE
2.3.1.203	NOT_IN_BIGG_DATABASE
2.3.1.210	TDPADGAT
2.3.1.227	NOT_IN_BIGG_DATABASE
2.3.1.228	NOT_IN_BIGG_DATABASE
2.3.1.229	NOT_IN_BIGG_DATABASE
2.3.1.234	NOT_IN_BIGG_DATABASE
2.3.1.241	EDTXS1
2.3.1.242	NOT_IN_BIGG_DATABASE
2.3.1.243	EDTXS2
2.3.1.245	NOT_IN_BIGG_DATABASE
2.3.1.247	NOT_IN_BIGG_DATABASE
2.3.1.266	NOT_IN_BIGG_DATABASE
2.3.1.267	NOT_IN_BIGG_DATABASE
2.3.1.269	NOT_IN_BIGG_DATABASE
2.3.1.270	NOT_IN_BIGG_DATABASE
2.3.1.274	NOT_IN_BIGG_DATABASE
2.3.1.275	NOT_IN_BIGG_DATABASE
2.3.1.28	NOT_IN_BIGG_DATABASE
2.3.1.286	NOT_IN_BIGG_DATABASE
2.3.1.29	GLYAT
2.3.1.29	GLYATm
2.3.1.29	GLYATx
2.3.1.30	SAT
2.3.1.30	SATm
2.3.1.30	SERAT
2.3.1.304	NOT_IN_BIGG_DATABASE
2.3.1.31	HSERTA
2.3.1.312	NOT_IN_BIGG_DATABASE
2.3.1.313	NOT_IN_BIGG_DATABASE
2.3.1.317	NOT_IN_BIGG_DATABASE
2.3.1.318	NOT_IN_BIGG_DATABASE
2.3.1.319	NOT_IN_BIGG_DATABASE
2.3.1.35	ORNTAC
2.3.1.35	ORNTAC_1
2.3.1.35	ORNTACim
2.3.1.37	ALASm
2.3.1.37	APPLDHr
2.3.1.37	GLYAT
2.3.1.37	GLYATm
2.3.1.37	GLYATx
2.3.1.39	MCOATA
2.3.1.39	MCOATA_1
2.3.1.39	MCOATAm
2.3.1.40	2AGPEAT160
2.3.1.40	2AGPEAT180
2.3.1.41	3OAS121
2.3.1.41	3OAS141
2.3.1.41	3OAS161
2.3.1.41	3OAS180
2.3.1.41	3OAS180_1
2.3.1.41	ACOATA
2.3.1.41	ACOATA_1
2.3.1.41	ACOATAm
2.3.1.41	KAS1
2.3.1.41	KAS10
2.3.1.41	KAS11
2.3.1.41	KAS12
2.3.1.41	KAS13
2.3.1.41	KAS14
2.3.1.41	KAS14_1
2.3.1.41	KAS2
2.3.1.41	KAS3
2.3.1.41	KAS4
2.3.1.41	KAS5
2.3.1.41	KAS6
2.3.1.41	KAS8
2.3.1.41	KAS9
2.3.1.46	HSST
2.3.1.47	AOXSr
2.3.1.47	AOXSr2
2.3.1.5	NOT_IN_BIGG_DATABASE
2.3.1.51	AGPAT120
2.3.1.51	AGPAT140
2.3.1.51	AGPAT141
2.3.1.51	AGPAT160
2.3.1.51	AGPAT160h
2.3.1.51	AGPAT161
2.3.1.51	AGPAT180
2.3.1.51	AGPAT181
2.3.1.54	OBTFL
2.3.1.54	PCFPTh
2.3.1.54	PCFPTm
2.3.1.54	PFL
2.3.1.54	PFLACTm
2.3.1.54	PFLh
2.3.1.57	DIAT
2.3.1.57	PTRCAT1
2.3.1.57	RE1238X
2.3.1.57	SPMDAT1
2.3.1.57	SPMDAT2
2.3.1.61	2OXOADOXm
2.3.1.61	AKGDH
2.3.1.61	AKGDHe2r
2.3.1.61	AKGDb
2.3.1.61	AKGDbm
2.3.1.61	AKGDm
2.3.1.61	GLCOASYNT
2.3.1.61	r0556
2.3.1.61	r0557
2.3.1.79	GLCATr
2.3.1.79	MALTATr
2.3.1.8	PCPPTh
2.3.1.8	PCPPTm
2.3.1.8	PTA2
2.3.1.8	PTAr
2.3.1.8	PTArh
2.3.1.8	PTArm
2.3.1.9	ACACT10m
2.3.1.9	ACACT1m
2.3.1.9	ACACT1r
2.3.1.9	ACACT1x
2.3.1.9	ACACT2
2.3.1.9	ACACT2m
2.3.1.9	ACACT2r
2.3.1.9	ACACT3
2.3.1.9	ACACT3m
2.3.1.9	ACACT3r
2.3.1.9	ACACT4m
2.3.1.9	ACACT4p
2.3.1.9	ACACT4r
2.3.1.9	ACACT5m
2.3.1.9	ACACT5p
2.3.1.9	ACACT5r
2.3.1.9	ACACT6m
2.3.1.9	ACACT6p
2.3.1.9	ACACT6r
2.3.1.9	ACACT7m
2.3.1.9	ACACT7p
2.3.1.9	ACACT7r
2.3.1.9	KAT1
2.3.1.9	MACCOAT
2.3.2.-	GGT6
2.3.2.13	NOT_IN_BIGG_DATABASE
2.3.2.2	GTMLT
2.3.2.2	r0648
2.3.2.2	r0649
2.3.2.27	NOT_IN_BIGG_DATABASE
2.3.2.29	NOT_IN_BIGG_DATABASE
2.3.2.30	NOT_IN_BIGG_DATABASE
2.3.2.6	NOT_IN_BIGG_DATABASE
2.3.3.1	CS
2.3.3.1	CSm
2.3.3.1	CSp
2.3.3.13	IPPS
2.3.3.13	IPPSh
2.3.3.13	IPPSm
2.3.3.16	CS
2.3.3.16	CSm
2.3.3.16	CSp
2.3.3.20	NOT_IN_BIGG_DATABASE
2.3.3.5	MCITS
2.3.3.5	MCITSm
2.3.3.9	MALS
2.3.3.9	MALSh
2.3.3.9	MALSm
2.3.3.9	MALSp
2.4.1.-	B3GNT310g_cho
2.4.1.-	B3GNT315g_cho
2.4.1.-	FUT97g_cho
2.4.1.1	GLCP2
2.4.1.1	MLTP1
2.4.1.1	MLTP2
2.4.1.1	MLTP3
2.4.1.109	NOT_IN_BIGG_DATABASE
2.4.1.12	NOT_IN_BIGG_DATABASE
2.4.1.129	NOT_IN_BIGG_DATABASE
2.4.1.15	TRE6PS
2.4.1.15	UG6PGT
2.4.1.15	UG6PGTn
2.4.1.18	GLBRAN2
2.4.1.18	GLDBRAN2
2.4.1.180	ACMAMUT
2.4.1.182	LPADSS
2.4.1.187	NOT_IN_BIGG_DATABASE
2.4.1.21	GLCS1
2.4.1.227	UAGPT1
2.4.1.227	UAGPT2
2.4.1.227	UAGPT3
2.4.1.25	AMALT1
2.4.1.25	AMALT2
2.4.1.25	AMALT3
2.4.1.25	AMALT4
2.4.1.252	NOT_IN_BIGG_DATABASE
2.4.1.266	NOT_IN_BIGG_DATABASE
2.4.1.289	NOT_IN_BIGG_DATABASE
2.4.1.291	NOT_IN_BIGG_DATABASE
2.4.1.292	NOT_IN_BIGG_DATABASE
2.4.1.315	NOT_IN_BIGG_DATABASE
2.4.1.33	NOT_IN_BIGG_DATABASE
2.4.1.337	NOT_IN_BIGG_DATABASE
2.4.1.342	NOT_IN_BIGG_DATABASE
2.4.1.345	NOT_IN_BIGG_DATABASE
2.4.1.346	NOT_IN_BIGG_DATABASE
2.4.1.347	NOT_IN_BIGG_DATABASE
2.4.1.352	NOT_IN_BIGG_DATABASE
2.4.1.4	SUCR
2.4.1.4	SUCRe
2.4.1.80	UGCG_cho
2.4.1.80	UGCGc
2.4.2.-	IG3PS
2.4.2.-	IG3PS_1
2.4.2.-	IMGPSh
2.4.2.-	PUNP7
2.4.2.1	DURIPP
2.4.2.1	NP1
2.4.2.1	PNP
2.4.2.1	PUNP1
2.4.2.1	PUNP1m
2.4.2.1	PUNP2
2.4.2.1	PUNP3
2.4.2.1	PUNP3m
2.4.2.1	PUNP4
2.4.2.1	PUNP5
2.4.2.1	PUNP6
2.4.2.1	PUNP7
2.4.2.1	PUNP8
2.4.2.10	5FLURAPRT
2.4.2.10	ORPT
2.4.2.14	GLUPRT
